"","Gene.symbol","ID.VL","adj.P.Val.VL","P.Value.VL","t.VL","B.VL","logFC.VL","Gene.title.VL","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS"
"350","HNRNPA3","ILMN_1761083",0.00242121,0.000143,4.3269938,0.88602,0.7982266,"heterogeneous nuclear ribonucleoprotein A3","211930_at",1.99e-05,2.46e-06,-6.023988,4.539915,-0.62264626,"heterogeneous nuclear ribonucleoprotein A3"
"351","HOOK1","ILMN_1741406",0.03593172,0.00703,2.883843,-2.75737,0.7152501,"hook microtubule tethering protein 1","225792_at",4.02e-05,5.68e-06,-5.6988548,3.708362,-0.91822667,"hook microtubule tethering protein 1"
"352","HPCAL1","ILMN_1764850",0.00449896,0.00035,-4.0089823,0.03785,-0.7779237,"hippocalcin like 1","212552_at",2.38e-06,1.86e-07,7.0571808,7.117964,0.82128793,"hippocalcin like 1"
"353","HPGD","ILMN_2166457",0.01415316,0.00188,3.393745,-1.54072,1.1928294,"hydroxyprostaglandin dehydrogenase 15-(NAD)","203914_x_at",0.00864,0.0032,-3.2532419,-2.504821,-0.62304584,"hydroxyprostaglandin dehydrogenase 15-(NAD)"
"354","HS3ST6","ILMN_1710416",6.268e-05,4.42e-07,-6.339224,6.40251,-1.2660522,"heparan sulfate-glucosamine 3-sulfotransferase 6","239547_at",1.59e-08,2.84e-10,-9.9357866,13.591827,-1.63418127,"heparan sulfate-glucosamine 3-sulfotransferase 6"
"355","HSCB","ILMN_1771921",3.258e-05,1.21e-07,6.7979641,7.64039,0.9026902,"HscB mitochondrial iron-sulfur cluster cochaperone","223647_x_at",5.5e-05,8.27e-06,5.5533367,3.333956,0.59600167,"HscB mitochondrial iron-sulfur cluster cochaperone"
"356","HSP90B1","ILMN_2096116",0.00122083,4.96e-05,4.697845,1.89273,1.4903969,"heat shock protein 90 beta family member 1","216450_x_at",1.17e-05,1.3e-06,6.2756613,5.177801,0.7500374,"heat shock protein 90 beta family member 1"
"357","HSPA12A","ILMN_2081087",0.00935212,0.00104,3.6156442,-0.98293,0.8516198,"heat shock protein family A (Hsp70) member 12A","214434_at",3.75e-05,5.22e-06,-5.7311056,3.791172,-0.69916567,"heat shock protein family A (Hsp70) member 12A"
"358","HSPB11","ILMN_1681340",7.884e-05,7.1e-07,6.1730583,5.94979,1.5313585,"heat shock protein family B (small) member 11","214163_at",0.00295,0.00091,-3.7507205,-1.294818,-0.58520134,"heat shock protein family B (small) member 11"
"359","IDNK","ILMN_1791306",0.02891873,0.00523,3.0015953,-2.48559,0.5956364,"IDNK, gluconokinase","239086_at",3.72e-06,3.25e-07,-6.8307763,6.562858,-0.86075101,"IDNK, gluconokinase"
"360","IDUA","ILMN_1703041",0.00757216,0.000755,-3.731331,-0.68658,-0.6833367,"iduronidase, alpha-L-","205059_s_at",0.00206,0.000597,3.9145133,-0.884982,0.65086624,"iduronidase, alpha-L-"
"361","IER5L","ILMN_1755620",0.00074057,2.31e-05,-4.9626875,2.61908,-0.6444854,"immediate early response 5 like","226552_at",0.00124,0.000326,4.1472811,-0.295544,0.90656841,"immediate early response 5 like"
"362","IFI27","ILMN_2058782",0.00115248,4.53e-05,4.7292003,1.97847,2.4209813,"interferon alpha inducible protein 27","202411_at",0.000372,7.93e-05,4.687783,1.093859,1.12703023,"interferon alpha inducible protein 27"
"363","IFI6","ILMN_1687384",0.00175869,8.72e-05,4.5003163,1.35462,1.7761612,"interferon alpha inducible protein 6","204415_at",2.2e-07,9.06e-09,8.3394975,10.139777,1.42487165,"interferon alpha inducible protein 6"
