"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.AD","adj.P.Val.AD","P.Value.AD","t.AD","B.AD","logFC.AD","Gene.title.AD"
"890","RAB35","225620_at",1.01e-32,1.11e-34,15.7,68.2155377,1.1,"RAB35, member RAS oncogene family","225620_at",0.204,0.00160596,3.57,-2.6503,0.756,"RAB35, member RAS oncogene family"
"891","RABIF","204478_s_at",1.62e-39,8.45e-42,18.3,84.527862,2.41,"RAB interacting factor","204478_s_at",0.266,0.00675249,2.97,-4.0389,0.745,"RAB interacting factor"
"892","RAC2","213603_s_at",1.19e-15,9.4e-17,9.26,27.1924782,1.21,"ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)","213603_s_at",0.255,0.00516423,3.09,-3.78219,1.1,"ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)"
"893","RAD51AP1","204146_at",2.91e-24,8.83e-26,12.5,47.8296225,2.09,"RAD51 associated protein 1","204146_at",0.5,0.04811406,2.09,-5.86224,0.594,"RAD51 associated protein 1"
"894","RAI2","219440_at",1.66e-27,3.48e-29,-13.7,55.6275059,-1.86,"retinoic acid induced 2","219440_at",0.436,0.03145624,-2.29,-5.47856,-0.612,"retinoic acid induced 2"
"895","RALA","214435_x_at",1.1e-37,7.32e-40,17.5,80.0895336,1.64,"RALA Ras like proto-oncogene A","214435_x_at",0.262,0.00604689,3.02,-3.9334,0.61,"RALA Ras like proto-oncogene A"
"896","RALGAPB","221738_at",2.17e-36,1.64e-38,17,76.9959907,1.46,"Ral GTPase activating protein non-catalytic beta subunit","221738_at",0.301,0.01045484,2.78,-4.45424,0.603,"Ral GTPase activating protein non-catalytic beta subunit"
"897","RALGPS2","242458_at",1.98e-49,2.89e-52,22.3,108.4795739,3.49,"Ral GEF with PH domain and SH3 binding motif 2","220338_at",0.373,0.01976357,2.5,-5.0509,1.21,"Ral GEF with PH domain and SH3 binding motif 2"
"898","RAPGEF3","210051_at",2.63e-14,2.4e-15,-8.73,23.9850045,-1.28,"Rap guanine nucleotide exchange factor 3","210051_at",0.367,0.0188955,-2.52,-5.00919,-1.1,"Rap guanine nucleotide exchange factor 3"
"899","RARRES2","209496_at",4.08e-07,8.51e-08,-5.6,6.8883651,-0.787,"retinoic acid receptor responder 2","209496_at",0.333,0.01431629,-2.65,-4.75015,-0.939,"retinoic acid receptor responder 2"
"900","RASGRP1","205590_at",3.93e-34,3.78e-36,16.2,71.5823465,1.7,"RAS guanyl releasing protein 1","205590_at",0.503,0.04903352,2.08,-5.87914,0.913,"RAS guanyl releasing protein 1"
"901","RBM26-AS1","1568807_a_at",3.24e-13,3.35e-14,-8.29,21.3776718,-1.36,"RBM26 antisense RNA 1","233021_at",0.446,0.03438737,-2.25,-5.55963,-0.624,"RBM26 antisense RNA 1"
