"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.CSU","adj.P.Val.CSU","P.Value.CSU","t.CSU","B.CSU","logFC.CSU","Gene.title.CSU"
"440","SPCS3","218817_at",3.2e-29,5.47e-31,14.3,59.7581899,2.63,"signal peptidase complex subunit 3",8098414,0.0055927,0.000133,5.3285913,1.23758,0.79391738,"signal peptidase complex subunit 3"
"441","SPRED1","244439_at",0.00102,0.000331,-3.66,-1.0573825,-0.652,"sprouty related EVH1 domain containing 1",7982564,0.0006625,3.96e-06,7.5507628,4.69822,2.02045238,"sprouty related EVH1 domain containing 1"
"442","SQLE","213562_s_at",2.08e-26,5e-28,13.3,52.9757712,2.07,"squalene epoxidase",8148280,0.1579979,0.0258,2.5129363,-3.92857,0.67690405,"squalene epoxidase"
"443","SRGN","201858_s_at",6.39e-08,1.21e-08,5.99,8.7912836,1.22,"serglycin",7927964,0.0018202,2.19e-05,6.4165811,3.02335,2.57336929,"serglycin"
"444","SRM","201516_at",6.5e-26,1.63e-27,13.1,51.8017749,1.43,"spermidine synthase",7912374,0.0051831,0.000118,5.3982809,1.35717,1.36520405,"spermidine synthase"
"445","SRP72","208800_at",6.46e-12,7.71e-13,7.76,18.2823553,0.782,"signal recognition particle 72",8095230,0.0034911,6.32e-05,5.7647154,1.97444,0.59158381,"signal recognition particle 72"
"446","SRPRB","222532_at",1.2e-12,1.32e-13,8.06,20.0268165,1.36,"SRP receptor beta subunit",8082816,0.0008667,6.48e-06,7.2119808,4.21752,1.18849381,"SRP receptor beta subunit"
"447","SSBP2","238484_s_at",1.13e-14,9.87e-16,-8.88,24.8641625,-1.35,"single stranded DNA binding protein 2",8112940,0.0321354,0.00206,-3.8289378,-1.47943,-0.70415786,"single stranded DNA binding protein 2"
"448","ST14","216905_s_at",8.55e-33,9.42e-35,15.7,68.3826589,1.3,"suppression of tumorigenicity 14",7945204,0.0486188,0.0041,3.4696492,-2.1565,0.74061286,"suppression of tumorigenicity 14"
"449","STARD4","226390_at",2.33e-29,3.88e-31,14.4,60.0989643,3.05,"StAR related lipid transfer domain containing 4",8113491,0.0114804,0.000413,4.6895519,0.11028,0.61623524,"StAR related lipid transfer domain containing 4"
"450","STARD9","227108_at",1.23e-13,1.22e-14,-8.46,22.3759043,-1.04,"StAR related lipid transfer domain containing 9",7983132,0.0001305,1.5e-07,-10.0887829,7.82174,-0.75824095,"StAR related lipid transfer domain containing 9"
"451","STAT1","AFFX-HUMISGF3A/M97935_MA_at",5.62e-35,4.95e-37,16.5,73.6052364,3.61,"signal transducer and activator of transcription 1",8057744,0.0017955,2.1e-05,6.4422581,3.06336,0.62040952,"signal transducer and activator of transcription 1"
"452","STAT3","208992_s_at",6.9e-27,1.57e-28,13.5,54.1260512,2.91,"signal transducer and activator of transcription 3",8015607,0.0002047,3.44e-07,9.3916848,7.04161,1.21404524,"signal transducer and activator of transcription 3"
"453","STEAP4","220187_at",6.62e-31,9.15e-33,15,63.8285796,3.05,"STEAP4 metalloreductase",8140840,0.0001965,3.09e-07,9.4793337,7.14271,3.12113762,"STEAP4 metalloreductase"
"454","STK17A","202693_s_at",1.71e-25,4.47e-27,13,50.7966558,1.24,"serine/threonine kinase 17a",8132503,0.0083647,0.000254,4.9601472,0.59415,0.78666071,"serine/threonine kinase 17a"
"455","STRAP","1558002_at",9.52e-07,2.07e-07,-5.42,6.023329,-0.843,"serine/threonine kinase receptor associated protein",7954173,0.0024992,3.89e-05,6.0585504,2.45511,0.74110476,"serine/threonine kinase receptor associated protein"
"456","SURF4","222977_at",3.01e-06,6.97e-07,5.16,4.8461637,0.629,"surfeit 4",8164883,0.0142587,0.000568,4.515359,-0.20583,0.71526524,"surfeit 4"
"457","SYNCRIP","1555427_s_at",1.9e-34,1.78e-36,16.3,72.3344128,3.02,"synaptotagmin binding cytoplasmic RNA interacting protein",8127977,0.0001305,1.5e-07,10.0867614,7.81955,0.58869167,"synaptotagmin binding cytoplasmic RNA interacting protein"
"458","SYNE1","244144_at",3.29e-14,3.04e-15,-8.69,23.7526341,-0.841,"spectrin repeat containing nuclear envelope protein 1",8130211,0.0052611,0.000121,-5.3804881,1.3267,-0.71105357,"spectrin repeat containing nuclear envelope protein 1"
"459","TAF13","227278_at",7.9e-17,5.51e-18,9.71,30.0042211,0.626,"TATA-box binding protein associated factor 13",7918284,0.0004223,1.75e-06,8.1347045,5.48925,0.71071214,"TATA-box binding protein associated factor 13"
"460","TAP1","202307_s_at",1.71e-20,7.88e-22,11.1,38.7892859,0.777,"transporter 1, ATP binding cassette subfamily B member",8125512,0.016729,0.00074,4.371715,-0.46898,0.60724833,"transporter 1, ATP binding cassette subfamily B member"
"461","TARS","201263_at",5.21e-23,1.8e-24,12,44.8345522,0.755,"threonyl-tRNA synthetase",8104760,0.0001305,1.45e-07,10.1146095,7.84961,1.40376738,"threonyl-tRNA synthetase"
"462","TBX18","242107_x_at",8.58e-19,4.81e-20,-10.5,34.7057432,-1.4,"T-box 18",8127932,0.0006785,4.22e-06,-7.5067184,4.63665,-0.69825,"T-box 18"
"463","TCAF1","224030_s_at",6.47e-08,1.23e-08,-5.99,8.7780149,-0.884,"TRPM8 channel associated factor 1",8180403,0.0019638,2.44e-05,-6.3462795,2.91329,-0.63114238,"TRPM8 channel associated factor 1"
"464","TCEB1","202824_s_at",3.94e-39,2.2e-41,18.1,83.5767074,0.651,"transcription elongation factor B subunit 1",8180298,0.0010227,8.48e-06,7.0316165,3.95488,0.64983119,"transcription elongation factor B subunit 1"
"465","TCEB3","202819_s_at",2.38e-37,1.64e-39,17.4,79.2878384,2.07,"transcription elongation factor B subunit 3",7898881,0.0040237,7.97e-05,5.6265234,1.74395,0.68109881,"transcription elongation factor B subunit 3"
"466","TCP11L2","1553861_at",2.18e-18,1.27e-19,10.3,33.742023,1.67,"t-complex 11 like 2",7958262,0.0032632,5.76e-05,-5.8196914,2.06535,-1.31049238,"t-complex 11 like 2"
"467","TFRC","207332_s_at",8.19e-12,9.88e-13,7.72,18.037748,0.71,"transferrin receptor",8093053,0.0256874,0.00148,4.0028423,-1.15341,0.9995869,"transferrin receptor"
"468","TGFBR1","236561_at",1.51e-05,3.8e-06,-4.78,3.20513,-0.96,"transforming growth factor beta receptor 1",8156826,0.0059777,0.000149,5.2621888,1.123,0.97737524,"transforming growth factor beta receptor 1"
"469","THBD","237252_at",3e-26,7.3e-28,13.2,52.5987359,2.18,"thrombomodulin",8065353,0.0091928,0.000292,4.8824112,0.45609,1.23431571,"thrombomodulin"
"470","THBS1","201110_s_at",5.59e-08,1.05e-08,-6.02,8.9291981,-1.32,"thrombospondin 1",7982597,0.0001502,2.16e-07,9.7753882,7.47771,3.44618905,"thrombospondin 1"
"471","TIGAR","219099_at",6.32e-35,5.61e-37,16.5,73.4806863,3.03,"TP53 induced glycolysis regulatory phosphatase",7953211,0.0001265,1.22e-07,10.2695951,8.01541,1.06498952,"TP53 induced glycolysis regulatory phosphatase"
"472","TIMM17A","201821_s_at",2.2e-16,1.6e-17,9.54,28.9457371,0.615,"translocase of inner mitochondrial membrane 17 homolog A (yeast)",7908766,0.0017904,2.08e-05,6.4479344,3.0722,0.81577619,"translocase of inner mitochondrial membrane 17 homolog A (yeast)"
"473","TIMM23B","218119_at",6.65e-10,1.01e-10,6.9,13.4853413,0.731,"translocase of inner mitochondrial membrane 23 homolog B///translocase of inner mitochondrial membrane 23",7933582,0.0005435,2.79e-06,7.7972607,5.03783,0.67027667,"translocase of inner mitochondrial membrane 23 homolog B///translocase of inner mitochondrial membrane 23"
"474","TIMP3","201150_s_at",8.13e-34,8.04e-36,-16.1,70.8311174,-1.17,"TIMP metallopeptidase inhibitor 3",8072626,0.1592925,0.0261,-2.5065142,-3.94001,-0.74615333,"TIMP metallopeptidase inhibitor 3"
"475","TLR1","210176_at",4.84e-05,1.3e-05,4.49,2.0213654,0.809,"toll like receptor 1",8099834,0.0357245,0.00245,3.7376883,-1.65109,0.68922071,"toll like receptor 1"
"476","TLR2","204924_at",8.3e-21,3.71e-22,11.2,39.5378553,1.99,"toll like receptor 2",8097903,0.0572673,0.00522,3.3439681,-2.39349,0.75645429,"toll like receptor 2"
"477","TMED5","202195_s_at",2.16e-15,1.76e-16,9.16,26.5730104,1.01,"transmembrane p24 trafficking protein 5",7917741,0.0072587,0.000205,5.0804953,0.80635,0.69851952,"transmembrane p24 trafficking protein 5"
"478","TMEM159","213272_s_at",1.47e-06,3.26e-07,-5.32,5.5824271,-1.05,"transmembrane protein 159",7993807,0.0740985,0.00778,-3.1373459,-2.78192,-0.6398719,"transmembrane protein 159///transmembrane protein 159"
"479","TMEM165","226827_at",6.46e-07,1.38e-07,5.5,6.4197231,0.981,"transmembrane protein 165",8095148,0.0104312,0.000357,4.770395,0.25579,0.70227095,"transmembrane protein 165"
"480","TMEM167A","226276_at",2.44e-17,1.6e-18,9.91,31.2291258,1.37,"transmembrane protein 167A",8112967,0.0012114,1.17e-05,6.8179464,3.6376,0.63785619,"transmembrane protein 167A"
"481","TMEM185B","219253_at",6.61e-21,2.91e-22,11.3,39.7782498,1.34,"transmembrane protein 185B",8054862,0.0005077,2.49e-06,7.8803084,5.15036,0.61323786,"transmembrane protein 185B"
"482","TMEM30B","213285_at",7.27e-25,2.07e-26,12.7,49.271749,0.842,"transmembrane protein 30B",7979524,0.0053729,0.000125,5.3623149,1.29554,1.00787786,"transmembrane protein 30B"
"483","TMEM47","209656_s_at",4.54e-26,1.12e-27,-13.2,52.1730312,-1.41,"transmembrane protein 47",8172022,0.0353744,0.0024,-3.7483646,-1.63099,-0.78812929,"transmembrane protein 47"
"484","TMTC1","226322_at",7.58e-07,1.63e-07,-5.47,6.2559926,-0.624,"transmembrane and tetratricopeptide repeat containing 1",7962058,0.1063402,0.0137,2.8462381,-3.32354,0.64585643,"transmembrane and tetratricopeptide repeat containing 1"
"485","TNFAIP1","201208_s_at",1.42e-24,4.19e-26,12.6,48.5698476,1.53,"TNF alpha induced protein 1",8005847,0.0020935,2.86e-05,6.2475406,2.75745,0.69406548,"TNF alpha induced protein 1"
"486","TNS1","221748_s_at",2.59e-23,8.62e-25,-12.1,45.5635918,-0.704,"tensin 1",8058869,0.0995866,0.0124,-2.8970611,-3.22967,-0.61902857,"tensin 1"
"487","TOP1","208901_s_at",5.35e-17,3.65e-18,9.78,30.4127133,0.733,"topoisomerase (DNA) I",8062603,0.0023177,3.43e-05,6.135208,2.57839,0.99044024,"topoisomerase (DNA) I"
"488","TPM4","212481_s_at",4.6e-12,5.4e-13,7.82,18.6324332,0.775,"tropomyosin 4",8180349,0.0083647,0.000254,4.9595656,0.59312,0.7275,"tropomyosin 4"
"489","TRA2B","210180_s_at",7.22e-08,1.38e-08,5.97,8.6655821,0.687,"transformer 2 beta homolog (Drosophila)",8092564,0.0012114,1.17e-05,6.8198317,3.64042,0.60937214,"transformer 2 beta homolog (Drosophila)"
"490","TRIM16","204341_at",5.22e-15,4.42e-16,9.01,25.6588175,1.12,"tripartite motif containing 16",8012953,0.0070322,0.000195,5.1100279,0.85812,0.78302071,"tripartite motif containing 16"
"491","TRMT1","210463_x_at",1.02e-12,1.11e-13,8.09,20.1919325,0.797,"tRNA methyltransferase 1",8034615,0.0181632,0.000845,4.3006144,-0.59999,0.63485143,"tRNA methyltransferase 1"
"492","TRMT6","233970_s_at",1.1e-15,8.68e-17,9.27,27.2711123,1.02,"tRNA methyltransferase 6",8064879,0.0003809,1.36e-06,8.3205766,5.7314,0.94354333,"tRNA methyltransferase 6"
"493","TRNT1","222754_at",2.83e-12,3.25e-13,7.91,19.1341724,0.982,"tRNA nucleotidyl transferase 1",8077353,0.0037518,7.09e-05,5.6960465,1.86025,0.60113262,"tRNA nucleotidyl transferase 1"
"494","TRUB2","223109_at",4.78e-21,2.07e-22,11.3,40.1172537,0.677,"TruB pseudouridine synthase family member 2",8164428,0.0047319,0.000102,5.4805057,1.49737,0.67805952,"TruB pseudouridine synthase family member 2///TruB pseudouridine synthase family member 2"
"495","TSC22D3","208763_s_at",3.3e-21,1.4e-22,-11.4,40.5061134,-1.36,"TSC22 domain family member 3",8174361,0.0005586,3.01e-06,-7.7430507,4.96387,-0.940585,"TSC22 domain family member 3"
"496","TSPAN7","202242_at",9.38e-22,3.75e-23,-11.6,41.8143998,-1.04,"tetraspanin 7",8166784,0.0274472,0.00165,-3.9440602,-1.26342,-0.77848571,"tetraspanin 7"
"497","TSPAN8","203824_at",9.09e-20,4.55e-21,-10.8,37.0470587,-2.27,"tetraspanin 8",7964927,0.1577234,0.0257,-2.5158231,-3.92343,-1.0835281,"tetraspanin 8"
"498","TSR1","221987_s_at",4e-30,6.03e-32,14.7,61.9516152,1.47,"TSR1, ribosome maturation factor",8011245,0.0004646,2.2e-06,7.9667225,5.26646,1.26483214,"TSR1, ribosome maturation factor"
"499","TSTA3","36936_at",1.58e-17,1.01e-18,9.98,31.6866941,0.717,"tissue specific transplantation antigen P35B",8153474,0.0787322,0.00856,3.0882221,-2.87389,1.03644714,"tissue specific transplantation antigen P35B"
"500","TUBB6","209191_at",3.82e-37,2.71e-39,17.3,78.7865561,1.15,"tubulin beta 6 class V",8020220,0.0010611,8.92e-06,6.9975329,3.90471,0.8393319,"tubulin beta 6 class V"
"501","TULP3","205854_at",2.49e-10,3.59e-11,-7.09,14.4994178,-0.607,"tubby like protein 3",7953135,0.0525039,0.0046,-3.4094897,-2.26998,-0.6706581,"tubby like protein 3"
"502","TYROBP","204122_at",2.55e-05,6.6e-06,4.65,2.6745319,0.754,"TYRO protein tyrosine kinase binding protein",8036224,0.0481829,0.00403,3.4781446,-2.14047,0.82418,"TYRO protein tyrosine kinase binding protein"
"503","UBE2D1","214590_s_at",4.75e-17,3.21e-18,9.8,30.538629,1.13,"ubiquitin conjugating enzyme E2 D1",7927658,0.0006694,4.09e-06,7.5289059,4.6677,0.88050881,"ubiquitin conjugating enzyme E2 D1"
"504","UBE2J1","222435_s_at",1.59e-22,5.8e-24,11.9,43.6685954,1.12,"ubiquitin conjugating enzyme E2 J1",8128111,0.0036781,6.88e-05,5.713555,1.88943,0.7461969,"ubiquitin conjugating enzyme E2 J1"
"505","UGCG","221765_at",1.07e-12,1.17e-13,8.08,20.144499,1.07,"UDP-glucose ceramide glucosyltransferase",8157216,0.0215417,0.00111,4.1534385,-0.87264,0.73519881,"UDP-glucose ceramide glucosyltransferase"
"506","UGP2","232180_at",2.28e-15,1.85e-16,-9.15,26.5192905,-0.725,"UDP-glucose pyrophosphorylase 2",8042270,0.0473012,0.00392,3.4928608,-2.11271,0.7348381,"UDP-glucose pyrophosphorylase 2"
"507","UMPS","202706_s_at",8.9e-24,2.84e-25,12.3,46.6671784,0.867,"uridine monophosphate synthetase",8082229,0.0098086,0.000323,4.8246161,0.35294,0.62432524,"uridine monophosphate synthetase"
"508","URB1","212996_s_at",1.78e-06,4e-07,5.28,5.38456,0.672,"URB1 ribosome biogenesis 1 homolog (S. cerevisiae)",8069943,0.001102,9.49e-06,6.9568093,3.84456,0.88634643,"URB1 ribosome biogenesis 1 homolog (S. cerevisiae)"
"509","UST","205139_s_at",4.95e-19,2.69e-20,-10.5,35.2829618,-1.79,"uronyl 2-sulfotransferase",8122660,0.0191759,0.00093,-4.2491649,-0.69509,-0.60016643,"uronyl 2-sulfotransferase"
"510","UTP11","218235_s_at",1.18e-27,2.45e-29,13.7,55.9744844,0.824,"UTP11, small subunit processome component homolog (S. cerevisiae)",7900201,0.0014573,1.54e-05,6.6411235,3.36994,0.77043333,"UTP11, small subunit processome component homolog (S. cerevisiae)"
"511","UTP14A","221514_at",1.64e-17,1.05e-18,9.97,31.6464803,0.73,"UTP14A small subunit processome component",8169868,0.0013606,1.4e-05,6.7030708,3.46424,1.06381381,"UTP14A small subunit processome component"
"512","UTP15","228050_at",4.04e-12,4.71e-13,7.85,18.7685166,0.659,"UTP15, small subunit processome component",8106193,0.0003311,1.12e-06,8.4658468,5.91751,1.26188571,"UTP15, small subunit processome component"
"513","UTP4","230656_s_at",5.34e-23,1.85e-24,12,44.8073473,0.721,"UTP4, small subunit processome component",7996891,0.0001305,1.68e-07,9.987583,7.71181,1.72950357,"UTP4, small subunit processome component"
"514","VMP1","1569003_at",6.11e-27,1.39e-28,13.5,54.2513961,1.94,"vacuole membrane protein 1",8008870,0.0005586,3.04e-06,7.7376626,4.9565,0.62546286,"vacuole membrane protein 1"
"515","WARS","200628_s_at",5.19e-32,6.18e-34,15.4,66.5104585,1.93,"tryptophanyl-tRNA synthetase",7981290,0.0007558,5.31e-06,7.3476436,4.41197,2.0263781,"tryptophanyl-tRNA synthetase"
"516","WDR1","200611_s_at",9.03e-32,1.13e-33,15.3,65.9116167,1.34,"WD repeat domain 1",8099340,0.0041961,8.46e-05,5.5915423,1.68516,0.76240095,"WD repeat domain 1"
"517","WDR12","218512_at",1.69e-26,4.03e-28,13.3,53.1892938,1.22,"WD repeat domain 12",8058373,0.000223,4.4e-07,9.1932416,6.80941,1.20324024,"WD repeat domain 12"
"518","WDR36","238677_at",1.26e-16,8.93e-18,9.63,29.5249077,1.3,"WD repeat domain 36",8107282,7.96e-05,3.35e-08,11.4460557,9.19516,0.99963071,"WD repeat domain 36"
"519","WDR4","241937_s_at",1.95e-15,1.57e-16,9.17,26.6832826,1.37,"WD repeat domain 4",8070615,0.0109776,0.000387,4.7257256,0.17549,0.80197857,"WD repeat domain 4"
"520","WDR77","201420_s_at",1.17e-42,4.16e-45,19.5,92.1018497,1.42,"WD repeat domain 77",7918517,0.017938,0.000827,4.3124212,-0.5782,0.75921952,"WD repeat domain 77"
"521","WEE1","215711_s_at",2.2e-09,3.52e-10,-6.67,12.2539725,-1.78,"WEE1 G2 checkpoint kinase",7938366,0.1604041,0.0264,-2.5005208,-3.95067,-0.78318452,"WEE1 G2 checkpoint kinase"
"522","WTAP","210285_x_at",0.000602,0.000189,3.82,-0.5260164,0.615,"Wilms tumor 1 associated protein",8126952,0.0032848,5.81e-05,5.8147175,2.05714,0.60796714,"Wilms tumor 1 associated protein"
"523","XBP1","242021_at",2.31e-21,9.69e-23,-11.4,40.8705721,-1.69,"X-box binding protein 1",8075182,0.0843852,0.00953,3.0324123,-2.97814,0.6630581,"X-box binding protein 1"
"524","XPO5","223057_s_at",6.84e-13,7.32e-14,8.16,20.6056252,1.2,"exportin 5",8126588,0.0004027,1.57e-06,8.2136604,5.59267,0.81715619,"exportin 5"
"525","YARS","212048_s_at",8.76e-28,1.78e-29,13.8,56.2948371,0.774,"tyrosyl-tRNA synthetase",7914563,0.000223,4.62e-07,9.1542078,6.76319,1.48652714,"tyrosyl-tRNA synthetase"
"526","ZBTB20","226250_at",3.81e-27,8.4e-29,-13.6,54.7498711,-0.892,"zinc finger and BTB domain containing 20",8089701,0.0716455,0.00742,-3.1620722,-2.73556,-0.70892738,"zinc finger and BTB domain containing 20"
"527","ZC3H6","241372_at",6.23e-06,1.49e-06,-4.99,4.107635,-0.605,"zinc finger CCCH-type containing 6",8044450,0.0020935,2.87e-05,-6.2459111,2.75487,-0.802605,"zinc finger CCCH-type containing 6"
"528","ZFP36","201531_at",4.04e-21,1.74e-22,11.3,40.2917671,0.895,"ZFP36 ring finger protein",8028652,0.0100821,0.000338,4.8003293,0.30947,1.38300095,"ZFP36 ring finger protein"
"529","ZNF273","215239_x_at",2.1e-06,4.75e-07,-5.24,5.2166393,-0.685,"zinc finger protein 273",8133062,0.0541115,0.00482,-3.3856201,-2.31498,-0.74072619,"zinc finger protein 273"
"530","ZNF521","226677_at",2.74e-18,1.61e-19,-10.3,33.5057913,-0.814,"zinc finger protein 521",8022612,0.0076149,0.000222,-5.034513,0.7255,-0.73679929,"zinc finger protein 521"
"531","ZNFX1","225076_s_at",2.12e-16,1.54e-17,9.55,28.9838018,0.661,"zinc finger NFX1-type containing 1",8066905,0.0106683,0.000371,4.7486082,0.21666,0.74741095,"zinc finger NFX1-type containing 1"
"532","ZPR1","200054_at",7.9e-14,7.65e-15,8.54,22.8380354,0.659,"ZPR1 zinc finger",7951838,0.0003809,1.34e-06,8.3329956,5.74742,0.95654524,"ZPR1 zinc finger"
