"disease","ID","Description","GeneRatio","p.adjust","Count"
"AD","GO:0034369","plasma lipoprotein particle remodeling","4/561",0.040842443171653,4
"AD","GO:0035338","long-chain fatty-acyl-CoA biosynthetic process","4/561",0.040842443171653,4
"AD","GO:0042953","lipoprotein transport","4/561",0.040842443171653,4
"AD","GO:0044539","long-chain fatty acid import into cell","4/561",0.040842443171653,4
"AD","GO:0045723","positive regulation of fatty acid biosynthetic process","4/561",0.040842443171653,4
"AD","GO:0051299","centrosome separation","4/561",0.040842443171653,4
"AD","GO:0071605","monocyte chemotactic protein-1 production","4/561",0.040842443171653,4
"AD","GO:0071637","regulation of monocyte chemotactic protein-1 production","4/561",0.040842443171653,4
"AD","GO:0072677","eosinophil migration","4/561",0.040842443171653,4
"AD","GO:1902412","regulation of mitotic cytokinesis","4/561",0.040842443171653,4
"AD","GO:0002833","positive regulation of response to biotic stimulus","26/561",0.040842443171653,26
"AD","GO:0006968","cellular defense response","6/561",0.040842443171653,6
"AD","GO:0032613","interleukin-10 production","6/561",0.040842443171653,6
"AD","GO:0032653","regulation of interleukin-10 production","6/561",0.040842443171653,6
"AD","GO:0042304","regulation of fatty acid biosynthetic process","6/561",0.040842443171653,6
"AD","GO:1901616","organic hydroxy compound catabolic process","6/561",0.040842443171653,6
"AD","GO:0015718","monocarboxylic acid transport","12/561",0.041011301027696,12
"AD","GO:0006694","steroid biosynthetic process","15/561",0.0415012206218015,15
"AD","GO:0010876","lipid localization","28/561",0.0417864464741313,28
"AD","GO:0031401","positive regulation of protein modification process","36/561",0.0417874820289044,36
"AD","GO:0044282","small molecule catabolic process","24/561",0.041929559645143,24
"AD","GO:0051785","positive regulation of nuclear division","7/561",0.0425935369111914,7
"AD","GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","15/561",0.0443513962002428,15
"AD","GO:0002285","lymphocyte activation involved in immune response","17/561",0.0452282098332251,17
"AD","GO:0030217","T cell differentiation","22/561",0.0453333524212718,22
"AD","GO:0031640","killing of cells of another organism","8/561",0.0461508143991775,8
"AD","GO:0032608","interferon-beta production","8/561",0.0461508143991775,8
"AD","GO:0032648","regulation of interferon-beta production","8/561",0.0461508143991775,8
"AD","GO:0050818","regulation of coagulation","8/561",0.0461508143991775,8
"AD","GO:0141061","disruption of cell in another organism","8/561",0.0461508143991775,8
"AD","GO:0018958","phenol-containing compound metabolic process","9/561",0.0467719058990329,9
"AD","GO:0071677","positive regulation of mononuclear cell migration","9/561",0.0467719058990329,9
"AD","GO:0046631","alpha-beta T cell activation","15/561",0.0467719058990329,15
"AD","GO:0050671","positive regulation of lymphocyte proliferation","11/561",0.047159750916602,11
"AD","GO:0043154","negative regulation of cysteine-type endopeptidase activity involved in apoptotic process","7/561",0.0482593138693816,7
"AD","GO:0050918","positive chemotaxis","7/561",0.0482593138693816,7
"AD","GO:0033198","response to ATP","5/561",0.0483640752907079,5
"AD","GO:0050869","negative regulation of B cell activation","5/561",0.0483640752907079,5
"AD","GO:0030316","osteoclast differentiation","10/561",0.049846024659472,10
