"disease","ID","Description","GeneRatio","p.adjust","Count"
"CSU","GO:2000767","positive regulation of cytoplasmic translation","9/2486",0.00717930064600105,9
"CSU","GO:0008033","tRNA processing","46/2486",0.00717930064600105,46
"CSU","GO:0000054","ribosomal subunit export from nucleus","10/2486",0.00717930064600105,10
"CSU","GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","10/2486",0.00717930064600105,10
"CSU","GO:0016078","tRNA decay","10/2486",0.00717930064600105,10
"CSU","GO:0033750","ribosome localization","10/2486",0.00717930064600105,10
"CSU","GO:1902570","protein localization to nucleolus","10/2486",0.00717930064600105,10
"CSU","GO:0050779","RNA destabilization","33/2486",0.00762148188603599,33
"CSU","GO:0010833","telomere maintenance via telomere lengthening","28/2486",0.00772295595304055,28
"CSU","GO:0050727","regulation of inflammatory response","83/2486",0.00772295595304055,83
"CSU","GO:0002221","pattern recognition receptor signaling pathway","69/2486",0.00772295595304055,69
"CSU","GO:0002262","myeloid cell homeostasis","55/2486",0.00772295595304055,55
"CSU","GO:0006954","inflammatory response","161/2486",0.00810156577527305,161
"CSU","GO:0070741","response to interleukin-6","14/2486",0.0081969982755636,14
"CSU","GO:0071354","cellular response to interleukin-6","14/2486",0.0081969982755636,14
"CSU","GO:0009615","response to virus","95/2486",0.00824136409397656,95
"CSU","GO:0019693","ribose phosphate metabolic process","80/2486",0.00829592899072229,80
"CSU","GO:0050764","regulation of phagocytosis","26/2486",0.00878082371764135,26
"CSU","GO:0032210","regulation of telomere maintenance via telomerase","20/2486",0.00882539597508131,20
"CSU","GO:0050778","positive regulation of immune response","151/2486",0.00900435820428824,151
"CSU","GO:0061157","mRNA destabilization","32/2486",0.00900517600527272,32
"CSU","GO:0043489","RNA stabilization","23/2486",0.00900517600527272,23
"CSU","GO:0061014","positive regulation of mRNA catabolic process","33/2486",0.00930472580171186,33
"CSU","GO:0016441","post-transcriptional gene silencing","24/2486",0.0100255911142657,24
"CSU","GO:0000082","G1/S transition of mitotic cell cycle","64/2486",0.0100255911142657,64
"CSU","GO:0031123","RNA 3'-end processing","30/2486",0.0110281291480027,30
"CSU","GO:0000387","spliceosomal snRNP assembly","19/2486",0.01105411662196,19
"CSU","GO:0002360","T cell lineage commitment","15/2486",0.011162507723309,15
"CSU","GO:0061614","miRNA transcription","26/2486",0.0117931642595382,26
"CSU","GO:0006997","nucleus organization","45/2486",0.0126828810912376,45
"CSU","GO:0030218","erythrocyte differentiation","44/2486",0.0127375141166818,44
"CSU","GO:0071887","leukocyte apoptotic process","37/2486",0.0127676410099012,37
"CSU","GO:0002181","cytoplasmic translation","42/2486",0.0127676410099012,42
"CSU","GO:0006487","protein N-linked glycosylation","28/2486",0.0129323670204866,28
"CSU","GO:0090670","RNA localization to Cajal body","11/2486",0.0129323670204866,11
"CSU","GO:0090671","telomerase RNA localization to Cajal body","11/2486",0.0129323670204866,11
"CSU","GO:0090672","telomerase RNA localization","11/2486",0.0129323670204866,11
"CSU","GO:0090685","RNA localization to nucleus","11/2486",0.0129323670204866,11
"CSU","GO:0002366","leukocyte activation involved in immune response","73/2486",0.013279507632188,73
"CSU","GO:0035196","miRNA processing","18/2486",0.0134281292248371,18
"CSU","GO:0048872","homeostasis of number of cells","85/2486",0.014733244385948,85
"CSU","GO:0006999","nuclear pore organization","10/2486",0.0147988805769478,10
"CSU","GO:0019221","cytokine-mediated signaling pathway","108/2486",0.0149930814838304,108
"CSU","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","113/2486",0.0150931615663837,113
"CSU","GO:0032481","positive regulation of type I interferon production","26/2486",0.0151684270075623,26
"CSU","GO:0009259","ribonucleotide metabolic process","76/2486",0.0155692941180388,76
"CSU","GO:0046040","IMP metabolic process","9/2486",0.0160899776572381,9
"CSU","GO:0060333","type II interferon-mediated signaling pathway","13/2486",0.0162453544988127,13
"CSU","GO:1900153","positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","8/2486",0.0165332232065853,8
"CSU","GO:2000765","regulation of cytoplasmic translation","15/2486",0.017321572932382,15
"CSU","GO:0009150","purine ribonucleotide metabolic process","72/2486",0.0179377094204905,72
"CSU","GO:0009895","negative regulation of catabolic process","82/2486",0.0183482352918765,82
